TIME,Raw,First Motion,Second Motion,Third Motion
1,0,0,4.774648293,1.755165124
2,0.062831853,0.299802647,4.765226615,1.811908464
3,0.125663706,0.598422109,4.736998765,1.861501028
4,0.188495559,0.894679873,4.690076145,1.903747099
5,0.251327412,1.187406744,4.624643937,1.93847995
6,0.314159265,1.475447463,4.540960372,1.965562506
7,0.376991118,1.757665265,4.439355712,1.984887885
8,0.439822972,2.03294637,4.32023094,1.996379818
9,0.502654825,2.300204359,4.184056193,1.999992952
10,0.565486678,2.558384493,4.031368887,1.995713027
11,0.628318531,2.806467852,3.86277161,1.983556935
12,0.691150384,3.043475365,3.678929739,1.96357265
13,0.753982237,3.268471671,3.480568812,1.935839041
14,0.81681409,3.480568813,3.26847167,1.90046556
15,0.879645943,3.678929739,3.043475364,1.857591809
16,0.942477796,3.862771611,2.806467852,1.807386992
17,1.005309649,4.031368888,2.558384492,1.750049244
18,1.068141502,4.184056193,2.300204359,1.685804851
19,1.130973355,4.320230941,2.032946369,1.614907357
20,1.193805208,4.43935571,1.757665269,1.537636562
21,1.256637061,4.540960371,1.475447467,1.454297417
22,1.319468915,4.624643937,1.187406743,1.365218823
23,1.382300768,4.690076145,0.894679872,1.270752336
24,1.445132621,4.736998765,0.598422108,1.17127077
25,1.507964474,4.765226615,0.299802646,1.067166733
26,1.570796327,4.774648293,-9.79297E-10,0.958851077
27,1.63362818,4.765226615,-0.299802648,0.846751273
28,1.696460033,4.736998765,-0.59842211,0.73130973
29,1.759291886,4.690076145,-0.894679874,0.61298204
30,1.822123739,4.624643937,-1.187406745,0.492235191
31,1.884955592,4.540960372,-1.475447464,0.369545714
32,1.947787445,4.439355711,-1.757665266,0.245397809
33,2.010619298,4.320230942,-2.032946366,0.120281432
34,2.073451151,4.184056195,-2.300204356,-0.005309642
35,2.136283004,4.031368889,-2.55838449,-0.130879761
36,2.199114858,3.86277161,-2.806467853,-0.25593336
37,2.261946711,3.678929738,-3.043475366,-0.379976904
38,2.324778564,3.480568811,-3.268471672,-0.502520853
39,2.387610417,3.26847167,-3.480568813,-0.623081582
40,2.45044227,3.043475364,-3.67892974,-0.741183292
41,2.513274123,2.806467851,-3.862771611,-0.856359891
42,2.576105976,2.558384492,-4.031368888,-0.968156828
43,2.638937829,2.300204358,-4.184056194,-1.076132893
44,2.701769682,2.032946368,-4.320230941,-1.179861953
45,2.764601535,1.757665268,-4.439355711,-1.278934637
46,2.827433388,1.475447466,-4.540960372,-1.37295995
47,2.890265241,1.187406747,-4.624643936,-1.461566817
48,2.953097094,0.894679876,-4.690076144,-1.544405548
49,3.015928947,0.598422112,-4.736998765,-1.621149216
50,3.078760801,0.299802645,-4.765226615,-1.69149495
51,3.141592654,-1.95859E-09,-4.774648293,-1.755165124
52,3.204424507,-0.299802648,-4.765226615,-1.811908464
53,3.26725636,-0.598422111,-4.736998765,-1.861501029
54,3.330088213,-0.894679875,-4.690076145,-1.903747099
55,3.392920066,-1.187406746,-4.624643937,-1.93847995
56,3.455751919,-1.475447465,-4.540960372,-1.965562506
57,3.518583772,-1.757665267,-4.439355711,-1.984887885
58,3.581415625,-2.032946367,-4.320230941,-1.996379818
59,3.644247478,-2.300204357,-4.184056194,-1.999992952
60,3.707079331,-2.558384491,-4.031368889,-1.995713027
61,3.769911184,-2.80646785,-3.862771612,-1.983556935
62,3.832743037,-3.043475363,-3.67892974,-1.96357265
63,3.89557489,-3.268471669,-3.480568814,-1.935839041
64,3.958406744,-3.480568814,-3.268471669,-1.900465559
65,4.021238597,-3.67892974,-3.043475363,-1.857591808
66,4.08407045,-3.862771612,-2.80646785,-1.807386991
67,4.146902303,-4.031368889,-2.558384491,-1.750049244
68,4.209734156,-4.184056194,-2.300204357,-1.685804851
69,4.272566009,-4.320230942,-2.032946367,-1.614907357
70,4.335397862,-4.439355711,-1.757665267,-1.537636561
71,4.398229715,-4.540960372,-1.475447465,-1.454297416
72,4.461061568,-4.624643937,-1.187406746,-1.365218824
73,4.523893421,-4.690076145,-0.894679875,-1.270752337
74,4.586725274,-4.736998765,-0.598422111,-1.171270771
75,4.649557127,-4.765226615,-0.299802648,-1.067166734
76,4.71238898,-4.774648293,-1.83676E-09,-0.958851078
77,4.775220833,-4.765226615,0.299802645,-0.846751274
78,4.838052687,-4.736998765,0.598422112,-0.731309729
79,4.90088454,-4.690076144,0.894679876,-0.61298204
80,4.963716393,-4.624643936,1.187406747,-0.49223519
81,5.026548246,-4.540960371,1.475447466,-0.369545713
82,5.089380099,-4.439355711,1.757665268,-0.245397809
83,5.152211952,-4.320230941,2.032946368,-0.120281431
84,5.215043805,-4.184056194,2.300204358,0.005309643
85,5.277875658,-4.031368888,2.558384492,0.130879762
86,5.340707511,-3.862771611,2.806467851,0.255933358
87,5.403539364,-3.67892974,3.043475364,0.379976903
88,5.466371217,-3.480568813,3.26847167,0.502520852
89,5.52920307,-3.268471672,3.480568811,0.623081581
90,5.592034923,-3.043475366,3.678929738,0.741183291
91,5.654866776,-2.806467853,3.86277161,0.85635989
92,5.71769863,-2.55838449,4.031368889,0.968156829
93,5.780530483,-2.300204356,4.184056195,1.076132894
94,5.843362336,-2.032946366,4.320230942,1.179861954
95,5.906194189,-1.757665266,4.439355711,1.278934637
96,5.969026042,-1.475447464,4.540960372,1.37295995
97,6.031857895,-1.187406745,4.624643937,1.461566818
98,6.094689748,-0.894679874,4.690076145,1.544405549
99,6.157521601,-0.59842211,4.736998765,1.621149216
100,6.220353454,-0.299802647,4.765226615,1.691494949
